Strategy,Avg Net PnL
Contrarian Buy (Buy in Fear),185.37059994090507
Trend Buy (Buy in Greed),44.05430065314128
Contrarian Sell (Sell in Greed),143.18797088966153
Trend Sell (Sell in Fear),62.70963755475396
